# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	1954
#@/user_id	813273a1-82f8-48ef-b3a3-b5fbee29d649
a 	啊	c=1 d=1 t=1120
an quan 	安全	c=1 d=1 t=537
an zhao 	按照	c=3 d=1.51689 t=1906
an zhuang 	安装	c=7 d=1.01894 t=1627
ba 	吧	c=1 d=1 t=1911
ba 	把	c=7 d=1.01284 t=1886
ban ben 	版本	c=2 d=1.83946 t=274
ban ju 	半句	c=1 d=1 t=1884
bang bang 	棒棒	c=1 d=1 t=237
bang ding 	绑定	c=0 d=0.1 t=1434
bang ding de 	绑定的	c=1 d=1 t=1435
bang lao you 	帮佬友	c=1 d=1 t=943
bang mang 	帮忙	c=1 d=1 t=1697
bang wo 	帮我	c=3 d=2.11621 t=1926
bang zhu 	帮助	c=1 d=1 t=866
bao 	报	c=1 d=1 t=225
bao cun 	保存	c=1 d=1 t=1157
bao cuo 	报错	c=7 d=2.26374 t=1657
bao de 	报的	c=1 d=1 t=767
bao han 	包含	c=1 d=1 t=1487
bao liu 	保留	c=1 d=1 t=1885
bao qian 	抱歉	c=1 d=1 t=834
bao ta 	宝塔	c=1 d=1 t=496
bao zheng 	保证	c=2 d=1.36604 t=1341
bei fen 	备份	c=1 d=1 t=659
bei mian 	背面	c=1 d=1 t=1513
bi ru 	比如	c=1 d=1 t=298
bian geng 	变更	c=5 d=2.95089 t=1232
bian ma 	编码	c=2 d=1.91393 t=27
bian xie 	编写	c=1 d=1 t=106
biao da 	表达	c=1 d=1 t=1938
biao zhun 	标准	c=1 d=1 t=428
bie ren 	别人	c=1 d=1 t=1497
bing 	并	c=2 d=1.02678 t=1407
bing bu shi 	并不是	c=1 d=1 t=988
bing mei you 	并没有	c=3 d=1.6421 t=1239
bing qie 	并且	c=6 d=2.41212 t=1840
bo he 	薄荷	c=0 d=0.1 t=29
bo he pin yin 	薄荷拼音	c=1 d=1 t=30
bu an quan 	不安全	c=1 d=1 t=1031
bu bi yao 	不必要	c=1 d=1 t=616
bu chong 	补充	c=3 d=2.93143 t=1462
bu dai 	不带	c=2 d=1.94649 t=194
bu hao 	不好	c=2 d=1.94176 t=1787
bu pi pei 	不匹配	c=1 d=1 t=234
bu shi 	不是	c=5 d=1.47953 t=1882
bu tong 	不同	c=1 d=1 t=273
bu xing 	不行	c=1 d=1 t=1119
bu yao 	不要	c=3 d=1.01901 t=1863
bu yi yang 	不一样	c=1 d=1 t=1058
bu yong 	不用	c=5 d=1.85784 t=1935
bu zhi chi 	不支持	c=1 d=1 t=1077
bu zhou 	步骤	c=1 d=1 t=891
cai neng 	才能	c=1 d=1 t=410
cai xing 	才行	c=1 d=1 t=1620
cai yao 	才要	c=1 d=1 t=83
cai yao 	菜肴	c=1 d=1 t=82
cai yong 	采用	c=1 d=1 t=1587
can kao 	参考	c=1 d=1 t=511
cao zuo 	操作	c=2 d=1.41066 t=797
ce shi 	测试	c=2 d=1.0058 t=1248
cha 	查	c=1 d=1 t=78
cha ba 	插拔	c=1 d=1 t=415
cha kan 	查看	c=4 d=1.99755 t=1606
cha xun 	查询	c=1 d=1 t=592
chan pin 	产品	c=1 d=1 t=1716
chang shi 	尝试	c=1 d=1.09231 t=999
chang shi xia 	尝试下	c=1 d=1 t=984
chen 	陈	c=1 d=1 t=1480
cheng 	成	c=5 d=1.21571 t=1891
cheng dan 	承担	c=1 d=1 t=1344
cheng gong 	成功	c=1 d=1 t=1169
cheng se 	橙色	c=1 d=1 t=1144
chong kai 	重开	c=1 d=1 t=329
chong xin 	重新	c=4 d=1.02343 t=1807
chong zhi 	重置	c=7 d=2.36159 t=1286
chu 	出	c=2 d=1.0056 t=1939
chu kou 	出口	c=1 d=1 t=313
chu li 	处理	c=4 d=1.08355 t=1698
chu ru 	出入	c=0 d=0.1 t=287
